# 2025-10-21 13:50:18
dog-01: x=5.00, y=6.00, θ=192.0 degrees
dog-20: x=7.10, y=6.90, θ=327.0 degrees
# 2025-10-21 13:50:26
dog-01: x=7.80, y=7.30, θ=252.0 degrees
dog-02: x=9.80, y=7.30, θ=26.0 degrees
dog-03: x=9.80, y=6.30, θ=302.0 degrees
dog-04: x=7.80, y=7.30, θ=138.0 degrees
dog-05: x=8.80, y=7.30, θ=19.0 degrees
dog-06: x=8.80, y=6.30, θ=172.0 degrees
dog-07: x=7.80, y=7.30, θ=159.0 degrees
dog-08: x=9.80, y=7.30, θ=284.0 degrees
dog-09: x=7.80, y=6.30, θ=57.0 degrees
dog-10: x=8.80, y=6.30, θ=94.0 degrees
dog-11: x=9.80, y=7.30, θ=80.0 degrees
dog-12: x=9.80, y=7.30, θ=281.0 degrees
dog-13: x=7.80, y=6.30, θ=279.0 degrees
dog-14: x=8.80, y=6.30, θ=310.0 degrees
dog-15: x=8.80, y=7.30, θ=310.0 degrees
dog-16: x=7.80, y=7.30, θ=210.0 degrees
dog-17: x=8.80, y=7.30, θ=13.0 degrees
dog-18: x=8.80, y=7.30, θ=307.0 degrees
dog-19: x=7.80, y=7.30, θ=63.0 degrees
dog-20: x=7.80, y=7.30, θ=342.0 degrees
# 2025-10-21 13:50:28
dog-01: x=7.50, y=7.70, θ=267.0 degrees
dog-02: x=9.50, y=7.70, θ=41.0 degrees
dog-03: x=9.50, y=6.70, θ=317.0 degrees
dog-04: x=7.50, y=7.70, θ=153.0 degrees
dog-05: x=8.50, y=7.70, θ=34.0 degrees
dog-06: x=8.50, y=6.70, θ=187.0 degrees
dog-07: x=7.50, y=7.70, θ=174.0 degrees
dog-08: x=9.50, y=7.70, θ=299.0 degrees
dog-09: x=7.50, y=6.70, θ=72.0 degrees
dog-10: x=8.50, y=6.70, θ=109.0 degrees
dog-11: x=9.50, y=7.70, θ=95.0 degrees
dog-12: x=9.50, y=7.70, θ=296.0 degrees
dog-13: x=7.50, y=6.70, θ=294.0 degrees
dog-14: x=8.50, y=6.70, θ=325.0 degrees
dog-15: x=8.50, y=7.70, θ=325.0 degrees
dog-16: x=7.50, y=7.70, θ=225.0 degrees
dog-17: x=8.50, y=7.70, θ=28.0 degrees
dog-18: x=8.50, y=7.70, θ=322.0 degrees
dog-19: x=7.50, y=7.70, θ=78.0 degrees
dog-20: x=7.50, y=7.70, θ=357.0 degrees
# 2025-10-21 13:50:30
dog-01: x=8.20, y=7.80, θ=282.0 degrees
dog-02: x=10.20, y=7.80, θ=56.0 degrees
dog-03: x=10.20, y=6.80, θ=332.0 degrees
dog-04: x=8.20, y=7.80, θ=168.0 degrees
dog-05: x=9.20, y=7.80, θ=49.0 degrees
dog-06: x=9.20, y=6.80, θ=202.0 degrees
dog-07: x=8.20, y=7.80, θ=189.0 degrees
dog-08: x=10.20, y=7.80, θ=314.0 degrees
dog-09: x=8.20, y=6.80, θ=87.0 degrees
dog-10: x=9.20, y=6.80, θ=124.0 degrees
dog-11: x=10.20, y=7.80, θ=110.0 degrees
dog-12: x=10.20, y=7.80, θ=311.0 degrees
dog-13: x=8.20, y=6.80, θ=309.0 degrees
dog-14: x=9.20, y=6.80, θ=340.0 degrees
dog-15: x=9.20, y=7.80, θ=340.0 degrees
dog-16: x=8.20, y=7.80, θ=240.0 degrees
dog-17: x=9.20, y=7.80, θ=43.0 degrees
dog-18: x=9.20, y=7.80, θ=337.0 degrees
dog-19: x=8.20, y=7.80, θ=93.0 degrees
dog-20: x=8.20, y=7.80, θ=12.0 degrees
# 2025-10-21 13:50:32
dog-01: x=8.90, y=8.20, θ=297.0 degrees
dog-02: x=10.90, y=8.20, θ=71.0 degrees
dog-03: x=10.90, y=7.20, θ=347.0 degrees
dog-04: x=8.90, y=8.20, θ=183.0 degrees
dog-05: x=9.90, y=8.20, θ=64.0 degrees
dog-06: x=9.90, y=7.20, θ=217.0 degrees
dog-07: x=8.90, y=8.20, θ=204.0 degrees
dog-08: x=10.90, y=8.20, θ=329.0 degrees
dog-09: x=8.90, y=7.20, θ=102.0 degrees
dog-10: x=9.90, y=7.20, θ=139.0 degrees
dog-11: x=10.90, y=8.20, θ=125.0 degrees
dog-12: x=10.90, y=8.20, θ=326.0 degrees
dog-13: x=8.90, y=7.20, θ=324.0 degrees
dog-14: x=9.90, y=7.20, θ=355.0 degrees
dog-15: x=9.90, y=8.20, θ=355.0 degrees
dog-16: x=8.90, y=8.20, θ=255.0 degrees
dog-17: x=9.90, y=8.20, θ=58.0 degrees
dog-18: x=9.90, y=8.20, θ=352.0 degrees
dog-19: x=8.90, y=8.20, θ=108.0 degrees
dog-20: x=8.90, y=8.20, θ=27.0 degrees
# 2025-10-21 13:50:34
dog-01: x=9.60, y=8.60, θ=312.0 degrees
dog-02: x=11.60, y=8.60, θ=86.0 degrees
dog-03: x=11.60, y=7.60, θ=2.0 degrees
dog-04: x=9.60, y=8.60, θ=198.0 degrees
dog-05: x=10.60, y=8.60, θ=79.0 degrees
dog-06: x=10.60, y=7.60, θ=232.0 degrees
dog-07: x=9.60, y=8.60, θ=219.0 degrees
dog-08: x=11.60, y=8.60, θ=344.0 degrees
dog-09: x=9.60, y=7.60, θ=117.0 degrees
dog-10: x=10.60, y=7.60, θ=154.0 degrees
dog-11: x=11.60, y=8.60, θ=140.0 degrees
dog-12: x=11.60, y=8.60, θ=341.0 degrees
dog-13: x=9.60, y=7.60, θ=339.0 degrees
dog-14: x=10.60, y=7.60, θ=10.0 degrees
dog-15: x=10.60, y=8.60, θ=10.0 degrees
dog-16: x=9.60, y=8.60, θ=270.0 degrees
dog-17: x=10.60, y=8.60, θ=73.0 degrees
dog-18: x=10.60, y=8.60, θ=7.0 degrees
dog-19: x=9.60, y=8.60, θ=123.0 degrees
dog-20: x=9.60, y=8.60, θ=42.0 degrees
# 2025-10-21 13:50:36
dog-01: x=10.30, y=8.70, θ=327.0 degrees
dog-02: x=12.30, y=8.70, θ=101.0 degrees
dog-03: x=12.30, y=7.70, θ=17.0 degrees
dog-04: x=10.30, y=8.70, θ=213.0 degrees
dog-05: x=11.30, y=8.70, θ=94.0 degrees
dog-06: x=11.30, y=7.70, θ=247.0 degrees
dog-07: x=10.30, y=8.70, θ=234.0 degrees
dog-08: x=12.30, y=8.70, θ=359.0 degrees
dog-09: x=10.30, y=7.70, θ=132.0 degrees
dog-10: x=11.30, y=7.70, θ=169.0 degrees
dog-11: x=12.30, y=8.70, θ=155.0 degrees
dog-12: x=12.30, y=8.70, θ=356.0 degrees
dog-13: x=10.30, y=7.70, θ=354.0 degrees
dog-14: x=11.30, y=7.70, θ=25.0 degrees
dog-15: x=11.30, y=8.70, θ=25.0 degrees
dog-16: x=10.30, y=8.70, θ=285.0 degrees
dog-17: x=11.30, y=8.70, θ=88.0 degrees
dog-18: x=11.30, y=8.70, θ=22.0 degrees
dog-19: x=10.30, y=8.70, θ=138.0 degrees
dog-20: x=10.30, y=8.70, θ=57.0 degrees
# 2025-10-21 13:50:38
dog-01: x=10.00, y=6.10, θ=342.0 degrees
dog-02: x=12.00, y=6.10, θ=116.0 degrees
dog-03: x=12.00, y=5.10, θ=32.0 degrees
dog-04: x=10.00, y=6.10, θ=228.0 degrees
dog-05: x=11.00, y=6.10, θ=109.0 degrees
dog-06: x=11.00, y=5.10, θ=262.0 degrees
dog-07: x=10.00, y=6.10, θ=249.0 degrees
dog-08: x=12.00, y=6.10, θ=14.0 degrees
dog-09: x=10.00, y=5.10, θ=147.0 degrees
dog-10: x=11.00, y=5.10, θ=184.0 degrees
dog-11: x=12.00, y=6.10, θ=170.0 degrees
dog-12: x=12.00, y=6.10, θ=11.0 degrees
dog-13: x=10.00, y=5.10, θ=9.0 degrees
dog-14: x=11.00, y=5.10, θ=40.0 degrees
dog-15: x=11.00, y=6.10, θ=40.0 degrees
dog-16: x=10.00, y=6.10, θ=300.0 degrees
dog-17: x=11.00, y=6.10, θ=103.0 degrees
dog-18: x=11.00, y=6.10, θ=37.0 degrees
dog-19: x=10.00, y=6.10, θ=153.0 degrees
dog-20: x=10.00, y=6.10, θ=72.0 degrees
# 2025-10-21 13:50:40
dog-01: x=10.70, y=6.50, θ=357.0 degrees
dog-02: x=12.70, y=6.50, θ=131.0 degrees
dog-03: x=12.70, y=5.50, θ=47.0 degrees
dog-04: x=10.70, y=6.50, θ=243.0 degrees
dog-05: x=11.70, y=6.50, θ=124.0 degrees
dog-06: x=11.70, y=5.50, θ=277.0 degrees
dog-07: x=10.70, y=6.50, θ=264.0 degrees
dog-08: x=12.70, y=6.50, θ=29.0 degrees
dog-09: x=10.70, y=5.50, θ=162.0 degrees
dog-10: x=11.70, y=5.50, θ=199.0 degrees
dog-11: x=12.70, y=6.50, θ=185.0 degrees
dog-12: x=12.70, y=6.50, θ=26.0 degrees
dog-13: x=10.70, y=5.50, θ=24.0 degrees
dog-14: x=11.70, y=5.50, θ=55.0 degrees
dog-15: x=11.70, y=6.50, θ=55.0 degrees
dog-16: x=10.70, y=6.50, θ=315.0 degrees
dog-17: x=11.70, y=6.50, θ=118.0 degrees
dog-18: x=11.70, y=6.50, θ=52.0 degrees
dog-19: x=10.70, y=6.50, θ=168.0 degrees
dog-20: x=10.70, y=6.50, θ=87.0 degrees
# 2025-10-21 13:50:42
dog-01: x=11.40, y=6.60, θ=12.0 degrees
dog-02: x=13.40, y=6.60, θ=146.0 degrees
dog-03: x=13.40, y=5.60, θ=62.0 degrees
dog-04: x=11.40, y=6.60, θ=258.0 degrees
dog-05: x=12.40, y=6.60, θ=139.0 degrees
dog-06: x=12.40, y=5.60, θ=292.0 degrees
dog-07: x=11.40, y=6.60, θ=279.0 degrees
dog-08: x=13.40, y=6.60, θ=44.0 degrees
dog-09: x=11.40, y=5.60, θ=177.0 degrees
dog-10: x=12.40, y=5.60, θ=214.0 degrees
dog-11: x=13.40, y=6.60, θ=200.0 degrees
dog-12: x=13.40, y=6.60, θ=41.0 degrees
dog-13: x=11.40, y=5.60, θ=39.0 degrees
dog-14: x=12.40, y=5.60, θ=70.0 degrees
dog-15: x=12.40, y=6.60, θ=70.0 degrees
dog-16: x=11.40, y=6.60, θ=330.0 degrees
dog-17: x=12.40, y=6.60, θ=133.0 degrees
dog-18: x=12.40, y=6.60, θ=67.0 degrees
dog-19: x=11.40, y=6.60, θ=183.0 degrees
dog-20: x=11.40, y=6.60, θ=102.0 degrees
# 2025-10-21 13:50:44
dog-01: x=12.10, y=7.00, θ=27.0 degrees
dog-02: x=14.10, y=7.00, θ=161.0 degrees
dog-03: x=14.10, y=6.00, θ=77.0 degrees
dog-04: x=12.10, y=7.00, θ=273.0 degrees
dog-05: x=13.10, y=7.00, θ=154.0 degrees
dog-06: x=13.10, y=6.00, θ=307.0 degrees
dog-07: x=12.10, y=7.00, θ=294.0 degrees
dog-08: x=14.10, y=7.00, θ=59.0 degrees
dog-09: x=12.10, y=6.00, θ=192.0 degrees
dog-10: x=13.10, y=6.00, θ=229.0 degrees
dog-11: x=14.10, y=7.00, θ=215.0 degrees
dog-12: x=14.10, y=7.00, θ=56.0 degrees
dog-13: x=12.10, y=6.00, θ=54.0 degrees
dog-14: x=13.10, y=6.00, θ=85.0 degrees
dog-15: x=13.10, y=7.00, θ=85.0 degrees
dog-16: x=12.10, y=7.00, θ=345.0 degrees
dog-17: x=13.10, y=7.00, θ=148.0 degrees
dog-18: x=13.10, y=7.00, θ=82.0 degrees
dog-19: x=12.10, y=7.00, θ=198.0 degrees
dog-20: x=12.10, y=7.00, θ=117.0 degrees
# 2025-10-21 13:50:46
dog-01: x=12.80, y=7.40, θ=42.0 degrees
dog-02: x=14.80, y=7.40, θ=176.0 degrees
dog-03: x=14.80, y=6.40, θ=92.0 degrees
dog-04: x=12.80, y=7.40, θ=288.0 degrees
dog-05: x=13.80, y=7.40, θ=169.0 degrees
dog-06: x=13.80, y=6.40, θ=322.0 degrees
dog-07: x=12.80, y=7.40, θ=309.0 degrees
dog-08: x=14.80, y=7.40, θ=74.0 degrees
dog-09: x=12.80, y=6.40, θ=207.0 degrees
dog-10: x=13.80, y=6.40, θ=244.0 degrees
dog-11: x=14.80, y=7.40, θ=230.0 degrees
dog-12: x=14.80, y=7.40, θ=71.0 degrees
dog-13: x=12.80, y=6.40, θ=69.0 degrees
dog-14: x=13.80, y=6.40, θ=100.0 degrees
dog-15: x=13.80, y=7.40, θ=100.0 degrees
dog-16: x=12.80, y=7.40, θ=0.0 degrees
dog-17: x=13.80, y=7.40, θ=163.0 degrees
dog-18: x=13.80, y=7.40, θ=97.0 degrees
dog-19: x=12.80, y=7.40, θ=213.0 degrees
dog-20: x=12.80, y=7.40, θ=132.0 degrees
# 2025-10-21 13:50:48
dog-01: x=12.50, y=7.50, θ=57.0 degrees
dog-02: x=14.50, y=7.50, θ=191.0 degrees
dog-03: x=14.50, y=6.50, θ=107.0 degrees
dog-04: x=12.50, y=7.50, θ=303.0 degrees
dog-05: x=13.50, y=7.50, θ=184.0 degrees
dog-06: x=13.50, y=6.50, θ=337.0 degrees
dog-07: x=12.50, y=7.50, θ=324.0 degrees
dog-08: x=14.50, y=7.50, θ=89.0 degrees
dog-09: x=12.50, y=6.50, θ=222.0 degrees
dog-10: x=13.50, y=6.50, θ=259.0 degrees
dog-11: x=14.50, y=7.50, θ=245.0 degrees
dog-12: x=14.50, y=7.50, θ=86.0 degrees
dog-13: x=12.50, y=6.50, θ=84.0 degrees
dog-14: x=13.50, y=6.50, θ=115.0 degrees
dog-15: x=13.50, y=7.50, θ=115.0 degrees
dog-16: x=12.50, y=7.50, θ=15.0 degrees
dog-17: x=13.50, y=7.50, θ=178.0 degrees
dog-18: x=13.50, y=7.50, θ=112.0 degrees
dog-19: x=12.50, y=7.50, θ=228.0 degrees
dog-20: x=12.50, y=7.50, θ=147.0 degrees
# 2025-10-21 13:50:50
dog-01: x=13.20, y=7.90, θ=72.0 degrees
dog-02: x=15.20, y=7.90, θ=206.0 degrees
dog-03: x=15.20, y=6.90, θ=122.0 degrees
dog-04: x=13.20, y=7.90, θ=318.0 degrees
dog-05: x=14.20, y=7.90, θ=199.0 degrees
dog-06: x=14.20, y=6.90, θ=352.0 degrees
dog-07: x=13.20, y=7.90, θ=339.0 degrees
dog-08: x=15.20, y=7.90, θ=104.0 degrees
dog-09: x=13.20, y=6.90, θ=237.0 degrees
dog-10: x=14.20, y=6.90, θ=274.0 degrees
dog-11: x=15.20, y=7.90, θ=260.0 degrees
dog-12: x=15.20, y=7.90, θ=101.0 degrees
dog-13: x=13.20, y=6.90, θ=99.0 degrees
dog-14: x=14.20, y=6.90, θ=130.0 degrees
dog-15: x=14.20, y=7.90, θ=130.0 degrees
dog-16: x=13.20, y=7.90, θ=30.0 degrees
dog-17: x=14.20, y=7.90, θ=193.0 degrees
dog-18: x=14.20, y=7.90, θ=127.0 degrees
dog-19: x=13.20, y=7.90, θ=243.0 degrees
dog-20: x=13.20, y=7.90, θ=162.0 degrees
# 2025-10-21 13:50:52
dog-01: x=13.90, y=8.30, θ=87.0 degrees
dog-02: x=15.90, y=8.30, θ=221.0 degrees
dog-03: x=15.90, y=7.30, θ=137.0 degrees
dog-04: x=13.90, y=8.30, θ=333.0 degrees
dog-05: x=14.90, y=8.30, θ=214.0 degrees
dog-06: x=14.90, y=7.30, θ=7.0 degrees
dog-07: x=13.90, y=8.30, θ=354.0 degrees
dog-08: x=15.90, y=8.30, θ=119.0 degrees
dog-09: x=13.90, y=7.30, θ=252.0 degrees
dog-10: x=14.90, y=7.30, θ=289.0 degrees
dog-11: x=15.90, y=8.30, θ=275.0 degrees
dog-12: x=15.90, y=8.30, θ=116.0 degrees
dog-13: x=13.90, y=7.30, θ=114.0 degrees
dog-14: x=14.90, y=7.30, θ=145.0 degrees
dog-15: x=14.90, y=8.30, θ=145.0 degrees
dog-16: x=13.90, y=8.30, θ=45.0 degrees
dog-17: x=14.90, y=8.30, θ=208.0 degrees
dog-18: x=14.90, y=8.30, θ=142.0 degrees
dog-19: x=13.90, y=8.30, θ=258.0 degrees
dog-20: x=13.90, y=8.30, θ=177.0 degrees
# 2025-10-21 13:50:54
dog-01: x=14.60, y=8.40, θ=102.0 degrees
dog-02: x=16.60, y=8.40, θ=236.0 degrees
dog-03: x=16.60, y=7.40, θ=152.0 degrees
dog-04: x=14.60, y=8.40, θ=348.0 degrees
dog-05: x=15.60, y=8.40, θ=229.0 degrees
dog-06: x=15.60, y=7.40, θ=22.0 degrees
dog-07: x=14.60, y=8.40, θ=9.0 degrees
dog-08: x=16.60, y=8.40, θ=134.0 degrees
dog-09: x=14.60, y=7.40, θ=267.0 degrees
dog-10: x=15.60, y=7.40, θ=304.0 degrees
dog-11: x=16.60, y=8.40, θ=290.0 degrees
dog-12: x=16.60, y=8.40, θ=131.0 degrees
dog-13: x=14.60, y=7.40, θ=129.0 degrees
dog-14: x=15.60, y=7.40, θ=160.0 degrees
dog-15: x=15.60, y=8.40, θ=160.0 degrees
dog-16: x=14.60, y=8.40, θ=60.0 degrees
dog-17: x=15.60, y=8.40, θ=223.0 degrees
dog-18: x=15.60, y=8.40, θ=157.0 degrees
dog-19: x=14.60, y=8.40, θ=273.0 degrees
dog-20: x=14.60, y=8.40, θ=192.0 degrees
# 2025-10-21 13:50:56
dog-01: x=15.30, y=8.80, θ=117.0 degrees
dog-02: x=17.30, y=8.80, θ=251.0 degrees
dog-03: x=17.30, y=7.80, θ=167.0 degrees
dog-04: x=15.30, y=8.80, θ=3.0 degrees
dog-05: x=16.30, y=8.80, θ=244.0 degrees
dog-06: x=16.30, y=7.80, θ=37.0 degrees
dog-07: x=15.30, y=8.80, θ=24.0 degrees
dog-08: x=17.30, y=8.80, θ=149.0 degrees
dog-09: x=15.30, y=7.80, θ=282.0 degrees
dog-10: x=16.30, y=7.80, θ=319.0 degrees
dog-11: x=17.30, y=8.80, θ=305.0 degrees
dog-12: x=17.30, y=8.80, θ=146.0 degrees
dog-13: x=15.30, y=7.80, θ=144.0 degrees
dog-14: x=16.30, y=7.80, θ=175.0 degrees
dog-15: x=16.30, y=8.80, θ=175.0 degrees
dog-16: x=15.30, y=8.80, θ=75.0 degrees
dog-17: x=16.30, y=8.80, θ=238.0 degrees
dog-18: x=16.30, y=8.80, θ=172.0 degrees
dog-19: x=15.30, y=8.80, θ=288.0 degrees
dog-20: x=15.30, y=8.80, θ=207.0 degrees
# 2025-10-21 13:50:58
dog-01: x=15.00, y=6.20, θ=132.0 degrees
dog-02: x=17.00, y=6.20, θ=266.0 degrees
dog-03: x=17.00, y=5.20, θ=182.0 degrees
dog-04: x=15.00, y=6.20, θ=18.0 degrees
dog-05: x=16.00, y=6.20, θ=259.0 degrees
dog-06: x=16.00, y=5.20, θ=52.0 degrees
dog-07: x=15.00, y=6.20, θ=39.0 degrees
dog-08: x=17.00, y=6.20, θ=164.0 degrees
dog-09: x=15.00, y=5.20, θ=297.0 degrees
dog-10: x=16.00, y=5.20, θ=334.0 degrees
dog-11: x=17.00, y=6.20, θ=320.0 degrees
dog-12: x=17.00, y=6.20, θ=161.0 degrees
dog-13: x=15.00, y=5.20, θ=159.0 degrees
dog-14: x=16.00, y=5.20, θ=190.0 degrees
dog-15: x=16.00, y=6.20, θ=190.0 degrees
dog-16: x=15.00, y=6.20, θ=90.0 degrees
dog-17: x=16.00, y=6.20, θ=253.0 degrees
dog-18: x=16.00, y=6.20, θ=187.0 degrees
dog-19: x=15.00, y=6.20, θ=303.0 degrees
dog-20: x=15.00, y=6.20, θ=222.0 degrees
# 2025-10-21 13:51:00
dog-01: x=15.70, y=6.30, θ=147.0 degrees
dog-02: x=17.70, y=6.30, θ=281.0 degrees
dog-03: x=17.70, y=5.30, θ=197.0 degrees
dog-04: x=15.70, y=6.30, θ=33.0 degrees
dog-05: x=16.70, y=6.30, θ=274.0 degrees
dog-06: x=16.70, y=5.30, θ=67.0 degrees
dog-07: x=15.70, y=6.30, θ=54.0 degrees
dog-08: x=17.70, y=6.30, θ=179.0 degrees
dog-09: x=15.70, y=5.30, θ=312.0 degrees
dog-10: x=16.70, y=5.30, θ=349.0 degrees
dog-11: x=17.70, y=6.30, θ=335.0 degrees
dog-12: x=17.70, y=6.30, θ=176.0 degrees
dog-13: x=15.70, y=5.30, θ=174.0 degrees
dog-14: x=16.70, y=5.30, θ=205.0 degrees
dog-15: x=16.70, y=6.30, θ=205.0 degrees
dog-16: x=15.70, y=6.30, θ=105.0 degrees
dog-17: x=16.70, y=6.30, θ=268.0 degrees
dog-18: x=16.70, y=6.30, θ=202.0 degrees
dog-19: x=15.70, y=6.30, θ=318.0 degrees
dog-20: x=15.70, y=6.30, θ=237.0 degrees
# 2025-10-21 13:51:02
dog-01: x=16.40, y=6.70, θ=162.0 degrees
dog-02: x=18.40, y=6.70, θ=296.0 degrees
dog-03: x=18.40, y=5.70, θ=212.0 degrees
dog-04: x=16.40, y=6.70, θ=48.0 degrees
dog-05: x=17.40, y=6.70, θ=289.0 degrees
dog-06: x=17.40, y=5.70, θ=82.0 degrees
dog-07: x=16.40, y=6.70, θ=69.0 degrees
dog-08: x=18.40, y=6.70, θ=194.0 degrees
dog-09: x=16.40, y=5.70, θ=327.0 degrees
dog-10: x=17.40, y=5.70, θ=4.0 degrees
dog-11: x=18.40, y=6.70, θ=350.0 degrees
dog-12: x=18.40, y=6.70, θ=191.0 degrees
dog-13: x=16.40, y=5.70, θ=189.0 degrees
dog-14: x=17.40, y=5.70, θ=220.0 degrees
dog-15: x=17.40, y=6.70, θ=220.0 degrees
dog-16: x=16.40, y=6.70, θ=120.0 degrees
dog-17: x=17.40, y=6.70, θ=283.0 degrees
dog-18: x=17.40, y=6.70, θ=217.0 degrees
dog-19: x=16.40, y=6.70, θ=333.0 degrees
dog-20: x=16.40, y=6.70, θ=252.0 degrees
# 2025-10-21 13:51:04
dog-01: x=17.10, y=7.10, θ=177.0 degrees
dog-02: x=19.10, y=7.10, θ=311.0 degrees
dog-03: x=19.10, y=6.10, θ=227.0 degrees
dog-04: x=17.10, y=7.10, θ=63.0 degrees
dog-05: x=18.10, y=7.10, θ=304.0 degrees
dog-06: x=18.10, y=6.10, θ=97.0 degrees
dog-07: x=17.10, y=7.10, θ=84.0 degrees
dog-08: x=19.10, y=7.10, θ=209.0 degrees
dog-09: x=17.10, y=6.10, θ=342.0 degrees
dog-10: x=18.10, y=6.10, θ=19.0 degrees
dog-11: x=19.10, y=7.10, θ=5.0 degrees
dog-12: x=19.10, y=7.10, θ=206.0 degrees
dog-13: x=17.10, y=6.10, θ=204.0 degrees
dog-14: x=18.10, y=6.10, θ=235.0 degrees
dog-15: x=18.10, y=7.10, θ=235.0 degrees
dog-16: x=17.10, y=7.10, θ=135.0 degrees
dog-17: x=18.10, y=7.10, θ=298.0 degrees
dog-18: x=18.10, y=7.10, θ=232.0 degrees
dog-19: x=17.10, y=7.10, θ=348.0 degrees
dog-20: x=17.10, y=7.10, θ=267.0 degrees
# 2025-10-21 13:51:06
dog-01: x=17.80, y=7.20, θ=192.0 degrees
dog-02: x=19.80, y=7.20, θ=326.0 degrees
dog-03: x=19.80, y=6.20, θ=242.0 degrees
dog-04: x=17.80, y=7.20, θ=78.0 degrees
dog-05: x=18.80, y=7.20, θ=319.0 degrees
